YEAR,WEEK,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2015,1,NE,PIT,28,21
2015,1,BUF,IND,27,14
2015,1,CHI,GB,23,31
2015,1,STL,SEA,34,31
2015,1,NYJ,CLE,31,10
2015,1,WAS,MIA,10,17
2015,1,JAC,CAR,9,20
2015,1,HOU,KC,20,27
2015,1,ARI,NO,31,19
2015,1,SD,DET,33,28
2015,1,DEN,BAL,19,13
2015,1,OAK,CIN,13,33
2015,1,TB,TEN,14,42
2015,1,DAL,NYG,27,26
2015,1,ATL,PHI,26,24
2015,1,SF,MIN,20,3
2015,2,KC,DEN,24,31
2015,2,BUF,NE,32,40
2015,2,CHI,ARI,23,48
2015,2,CIN,SD,24,19
2015,2,CLE,TEN,28,14
2015,2,MIN,DET,26,16
2015,2,NO,TB,19,26
2015,2,NYG,ATL,20,24
2015,2,PIT,SF,43,18
2015,2,WAS,STL,24,10
2015,2,CAR,HOU,24,17
2015,2,OAK,BAL,37,33
2015,2,JAC,MIA,23,20
2015,2,PHI,DAL,10,20
2015,2,GB,SEA,27,17
2015,2,IND,NYJ,7,20
2015,3,NYG,WAS,32,21
2015,3,CLE,OAK,20,27
2015,3,DAL,ATL,28,39
2015,3,TEN,IND,33,35
2015,3,STL,PIT,6,12
2015,3,MIN,SD,31,14
2015,3,NE,JAC,51,17
2015,3,NYJ,PHI,17,24
2015,3,CAR,NO,27,22
2015,3,BAL,CIN,24,28
2015,3,HOU,TB,19,9
2015,3,ARI,SF,47,7
2015,3,MIA,BUF,14,41
2015,3,SEA,CHI,26,0
2015,3,DET,DEN,12,24
2015,3,GB,KC,38,28
2015,4,PIT,BAL,20,23
2015,4,MIA,NYJ,14,27
2015,4,ATL,HOU,48,21
2015,4,BUF,NYG,10,24
2015,4,CHI,OAK,22,20
2015,4,CIN,KC,36,21
2015,4,IND,JAC,16,13
2015,4,TB,CAR,23,37
2015,4,WAS,PHI,23,20
2015,4,SD,CLE,30,27
2015,4,DEN,MIN,23,20
2015,4,ARI,STL,22,24
2015,4,SF,GB,3,17
2015,4,NO,DAL,26,20
2015,4,SEA,DET,13,10
2015,5,HOU,IND,20,27
2015,5,ATL,WAS,25,19
2015,5,CIN,SEA,27,24
2015,5,GB,STL,24,10
2015,5,TEN,BUF,13,14
2015,5,KC,CHI,17,18
2015,5,PHI,NO,39,17
2015,5,TB,JAC,38,31
2015,5,BAL,CLE,30,33
2015,5,DET,ARI,17,42
2015,5,DAL,NE,6,30
2015,5,OAK,DEN,10,16
2015,5,NYG,SF,30,27
2015,5,SD,PIT,20,24
2015,6,NO,ATL,31,21
2015,6,BUF,CIN,21,34
2015,6,CLE,DEN,23,26
2015,6,DET,CHI,37,34
2015,6,TEN,MIA,10,38
2015,6,MIN,KC,16,10
2015,6,NYJ,WAS,34,20
2015,6,PIT,ARI,25,13
2015,6,JAC,HOU,20,31
2015,6,SEA,CAR,23,27
2015,6,GB,SD,27,20
2015,6,SF,BAL,25,20
2015,6,IND,NE,27,34
2015,6,PHI,NYG,27,7
2015,7,SF,SEA,3,20
2015,7,JAC,BUF,34,31
2015,7,DET,MIN,19,28
2015,7,TEN,ATL,7,10
2015,7,IND,NO,21,27
2015,7,KC,PIT,23,13
2015,7,STL,CLE,24,6
2015,7,MIA,HOU,44,26
2015,7,NE,NYJ,30,23
2015,7,WAS,TB,31,30
2015,7,SD,OAK,29,37
2015,7,NYG,DAL,27,20
2015,7,CAR,PHI,27,16
2015,7,ARI,BAL,26,18
2015,8,NE,MIA,36,7
2015,8,KC,DET,45,10
2015,8,ATL,TB,20,23
2015,8,CHI,MIN,20,23
2015,8,CLE,ARI,20,34
2015,8,STL,SF,27,6
2015,8,NO,NYG,52,49
2015,8,PIT,CIN,10,16
2015,8,BAL,SD,29,26
2015,8,HOU,TEN,20,6
2015,8,OAK,NYJ,34,20
2015,8,DAL,SEA,12,13
2015,8,DEN,GB,29,10
2015,8,CAR,IND,29,26
2015,9,CIN,CLE,31,10
2015,9,BUF,MIA,33,17
2015,9,MIN,STL,21,18
2015,9,NE,WAS,27,10
2015,9,NO,TEN,28,34
2015,9,NYJ,JAC,28,23
2015,9,PIT,OAK,38,35
2015,9,CAR,GB,37,29
2015,9,SF,ATL,17,16
2015,9,TB,NYG,18,32
2015,9,IND,DEN,27,24
2015,9,DAL,PHI,27,33
2015,9,SD,CHI,19,22
2015,10,NYJ,BUF,17,22
2015,10,GB,DET,16,18
2015,10,TEN,CAR,10,27
2015,10,STL,CHI,13,37
2015,10,PHI,MIA,19,20
2015,10,PIT,CLE,30,9
2015,10,TB,DAL,10,6
2015,10,WAS,NO,47,14
2015,10,BAL,JAC,20,22
2015,10,OAK,MIN,14,30
2015,10,DEN,KC,13,29
2015,10,NYG,NE,26,27
2015,10,SEA,ARI,32,39
2015,10,CIN,HOU,6,10
2015,11,JAC,TEN,19,13
2015,11,ATL,IND,21,24
2015,11,CHI,DEN,15,17
2015,11,DET,OAK,18,13
2015,11,MIA,DAL,14,24
2015,11,PHI,TB,17,45
2015,11,CAR,WAS,44,16
2015,11,BAL,STL,16,13
2015,11,HOU,NYJ,24,17
2015,11,SD,KC,3,33
2015,11,MIN,GB,13,30
2015,11,SEA,SF,29,13
2015,11,ARI,CIN,34,31
2015,11,NE,BUF,20,13
2015,12,DET,PHI,45,14
2015,12,DAL,CAR,14,33
2015,12,GB,CHI,13,17
2015,12,ATL,MIN,10,20
2015,12,CIN,STL,31,7
2015,12,TEN,OAK,21,24
2015,12,IND,TB,25,12
2015,12,KC,BUF,30,22
2015,12,NYJ,MIA,38,20
2015,12,WAS,NYG,20,14
2015,12,JAC,SD,25,31
2015,12,HOU,NO,24,6
2015,12,SF,ARI,13,19
2015,12,SEA,PIT,39,30
2015,12,DEN,NE,30,24
2015,12,CLE,BAL,27,33
2015,13,DET,GB,23,27
2015,13,BUF,HOU,30,21
2015,13,CHI,SF,20,26
2015,13,CLE,CIN,3,37
2015,13,TEN,JAC,42,39
2015,13,STL,ARI,3,27
2015,13,MIA,BAL,15,13
2015,13,MIN,SEA,7,38
2015,13,NYG,NYJ,20,23
2015,13,TB,ATL,23,19
2015,13,OAK,KC,20,34
2015,13,SD,DEN,3,17
2015,13,NE,PHI,28,35
2015,13,NO,CAR,38,41
2015,13,PIT,IND,45,10
2015,13,WAS,DAL,16,19
2015,14,ARI,MIN,23,20
2015,14,CHI,WAS,21,24
2015,14,CIN,PIT,20,33
2015,14,CLE,SF,24,10
2015,14,KC,SD,10,3
2015,14,STL,DET,21,14
2015,14,NYJ,TEN,30,8
2015,14,PHI,BUF,23,20
2015,14,TB,NO,17,24
2015,14,CAR,ATL,38,0
2015,14,JAC,IND,51,16
2015,14,BAL,SEA,6,35
2015,14,DEN,OAK,12,15
2015,14,GB,DAL,28,7
2015,14,HOU,NE,6,27
2015,14,MIA,NYG,24,31
2015,15,STL,TB,31,23
2015,15,DAL,NYJ,16,19
2015,15,IND,HOU,10,16
2015,15,MIN,CHI,38,17
2015,15,NE,TEN,33,16
2015,15,NYG,CAR,35,38
2015,15,WAS,BUF,35,25
2015,15,JAC,ATL,17,23
2015,15,BAL,KC,14,34
2015,15,OAK,GB,20,30
2015,15,SEA,CLE,30,13
2015,15,PIT,DEN,34,27
2015,15,SD,MIA,30,14
2015,15,SF,CIN,14,24
2015,15,PHI,ARI,17,40
2015,15,NO,DET,27,35
2015,16,OAK,SD,23,20
2015,16,PHI,WAS,24,38
