YEAR,WEEK,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2009,1,PIT,TEN,13,10
2009,1,ATL,MIA,19,7
2009,1,CIN,DEN,7,12
2009,1,CLE,MIN,20,34
2009,1,IND,JAC,14,12
2009,1,NO,DET,45,27
2009,1,TB,DAL,21,34
2009,1,CAR,PHI,10,38
2009,1,BAL,KC,38,24
2009,1,HOU,NYJ,7,24
2009,1,NYG,WAS,23,17
2009,1,ARI,SF,16,20
2009,1,SEA,STL,28,0
2009,1,GB,CHI,21,15
2009,1,NE,BUF,25,24
2009,1,OAK,SD,20,24
2009,2,ATL,CAR,28,20
2009,2,DET,MIN,13,27
2009,2,GB,CIN,24,31
2009,2,TEN,HOU,31,34
2009,2,KC,OAK,10,13
2009,2,NYJ,NE,16,9
2009,2,PHI,NO,22,48
2009,2,WAS,STL,9,7
2009,2,JAC,ARI,17,31
2009,2,BUF,TB,33,20
2009,2,SF,SEA,23,10
2009,2,CHI,PIT,17,14
2009,2,DEN,CLE,27,6
2009,2,SD,BAL,26,31
2009,2,DAL,NYG,31,33
2009,2,MIA,IND,23,27
2009,3,DET,WAS,19,14
2009,3,STL,GB,17,36
2009,3,MIN,SF,27,24
2009,3,NE,ATL,26,10
2009,3,NYJ,TEN,24,17
2009,3,PHI,KC,34,14
2009,3,TB,NYG,0,24
2009,3,BAL,CLE,34,3
2009,3,HOU,JAC,24,31
2009,3,BUF,NO,7,27
2009,3,SEA,CHI,19,25
2009,3,CIN,PIT,23,20
2009,3,OAK,DEN,3,23
2009,3,SD,MIA,23,13
2009,3,ARI,IND,10,31
2009,3,DAL,CAR,21,7
2009,4,CHI,DET,48,24
2009,4,CLE,CIN,20,23
2009,4,IND,SEA,34,17
2009,4,KC,NYG,16,27
2009,4,NE,BAL,27,21
2009,4,WAS,TB,16,13
2009,4,JAC,TEN,37,17
2009,4,HOU,OAK,29,6
2009,4,MIA,BUF,38,10
2009,4,NO,NYJ,24,10
2009,4,DEN,DAL,17,10
2009,4,SF,STL,35,0
2009,4,PIT,SD,38,28
2009,4,MIN,GB,30,23
2009,5,BUF,CLE,3,6
2009,5,DET,PIT,20,28
2009,5,KC,DAL,20,26
2009,5,STL,MIN,10,38
2009,5,NYG,OAK,44,7
2009,5,PHI,TB,33,14
2009,5,CAR,WAS,20,17
2009,5,BAL,CIN,14,17
2009,5,SF,ATL,10,45
2009,5,DEN,NE,20,17
2009,5,ARI,HOU,28,21
2009,5,SEA,JAC,41,0
2009,5,TEN,IND,9,31
2009,5,MIA,NYJ,31,27
2009,6,CIN,HOU,17,28
2009,6,GB,DET,26,0
2009,6,MIN,BAL,33,31
2009,6,NO,NYG,48,27
2009,6,PIT,CLE,27,14
2009,6,TB,CAR,21,28
2009,6,WAS,KC,6,14
2009,6,JAC,STL,23,20
2009,6,OAK,PHI,13,9
2009,6,SEA,ARI,3,27
2009,6,NE,TEN,59,0
2009,6,NYJ,BUF,13,16
2009,6,ATL,CHI,21,14
2009,6,SD,DEN,23,34
2009,7,CLE,GB,3,31
2009,7,KC,SD,7,37
2009,7,STL,IND,6,42
2009,7,PIT,MIN,27,17
2009,7,TB,NE,7,35
2009,7,HOU,SF,24,21
2009,7,OAK,NYJ,0,38
2009,7,CAR,BUF,9,20
2009,7,CIN,CHI,45,10
2009,7,DAL,ATL,37,21
2009,7,MIA,NO,34,46
2009,7,NYG,ARI,17,24
2009,7,WAS,PHI,17,27
2009,8,BUF,HOU,10,31
2009,8,CHI,CLE,30,6
2009,8,DAL,SEA,38,17
2009,8,DET,STL,10,17
2009,8,IND,SF,18,14
2009,8,NYJ,MIA,25,30
2009,8,PHI,NYG,40,17
2009,8,BAL,DEN,30,7
2009,8,TEN,JAC,30,13
2009,8,SD,OAK,24,16
2009,8,GB,MIN,26,38
2009,8,ARI,CAR,21,34
2009,8,NO,ATL,35,27
2009,9,ATL,WAS,31,17
2009,9,CHI,ARI,21,41
2009,9,CIN,BAL,17,7
2009,9,IND,HOU,20,17
2009,9,NE,MIA,27,17
2009,9,TB,GB,38,28
2009,9,JAC,KC,24,21
2009,9,NO,CAR,30,20
2009,9,SEA,DET,32,20
2009,9,NYG,SD,20,21
2009,9,SF,TEN,27,34
2009,9,PHI,DAL,16,20
2009,9,DEN,PIT,10,28
2009,10,SF,CHI,10,6
2009,10,TEN,BUF,41,17
2009,10,STL,NO,23,28
2009,10,MIA,TB,25,23
2009,10,MIN,DET,27,10
2009,10,NYJ,JAC,22,24
2009,10,PIT,CIN,12,18
2009,10,WAS,DEN,27,17
2009,10,CAR,ATL,28,19
2009,10,OAK,KC,10,16
2009,10,GB,DAL,17,7
2009,10,ARI,SEA,31,20
2009,10,SD,PHI,31,23
2009,10,IND,NE,35,34
2009,10,CLE,BAL,0,16
2009,11,CAR,MIA,17,24
2009,11,DAL,WAS,7,6
2009,11,DET,CLE,38,37
2009,11,GB,SF,30,24
2009,11,KC,PIT,27,24
2009,11,MIN,SEA,35,9
2009,11,NYG,ATL,34,31
2009,11,TB,NO,7,38
2009,11,JAC,BUF,18,15
2009,11,BAL,IND,15,17
2009,11,STL,ARI,13,21
2009,11,DEN,SD,3,32
2009,11,OAK,CIN,20,17
2009,11,NE,NYJ,31,14
2009,11,CHI,PHI,20,24
2009,11,HOU,TEN,17,20
2009,12,DET,GB,12,34
2009,12,DAL,OAK,24,7
2009,12,DEN,NYG,26,6
2009,12,ATL,TB,20,17
2009,12,BUF,MIA,31,14
2009,12,CIN,CLE,16,7
2009,12,STL,SEA,17,27
2009,12,NYJ,CAR,17,6
2009,12,PHI,WAS,27,24
2009,12,HOU,IND,27,35
2009,12,SD,KC,43,14
2009,12,SF,JAC,20,3
2009,12,TEN,ARI,20,17
2009,12,MIN,CHI,36,10
2009,12,BAL,PIT,20,17
2009,12,NO,NE,38,17
2009,13,BUF,NYJ,13,19
2009,13,ATL,PHI,7,34
2009,13,CHI,STL,17,9
2009,13,CIN,DET,23,13
2009,13,IND,TEN,27,17
2009,13,KC,DEN,13,44
2009,13,MIA,NE,22,21
2009,13,PIT,OAK,24,27
2009,13,WAS,NO,30,33
2009,13,CAR,TB,16,6
2009,13,JAC,HOU,23,18
2009,13,CLE,SD,23,30
2009,13,NYG,DAL,31,24
2009,13,SEA,SF,20,17
2009,13,ARI,MIN,30,17
2009,13,GB,BAL,27,14
2009,14,CLE,PIT,13,6
2009,14,ATL,NO,23,26
2009,14,CHI,GB,14,21
2009,14,IND,DEN,28,16
2009,14,KC,BUF,10,16
2009,14,MIN,CIN,30,10
2009,14,NE,CAR,20,10
2009,14,TB,NYJ,3,26
2009,14,JAC,MIA,10,14
2009,14,BAL,DET,48,3
2009,14,HOU,SEA,34,7
2009,14,TEN,STL,47,7
2009,14,OAK,WAS,13,34
2009,14,DAL,SD,17,20
2009,14,NYG,PHI,38,45
2009,14,SF,ARI,24,9
2009,15,JAC,IND,31,35
2009,15,NO,DAL,17,24
2009,15,BUF,NE,10,17
2009,15,DET,ARI,24,31
2009,15,TEN,MIA,27,24
2009,15,KC,CLE,34,41
2009,15,STL,HOU,13,16
2009,15,NYJ,ATL,7,10
2009,15,DEN,OAK,19,20
2009,15,SD,CIN,27,24
2009,15,PHI,SF,27,13
2009,15,PIT,GB,37,36
2009,15,SEA,TB,7,24
2009,15,BAL,CHI,31,7
2009,15,CAR,MIN,26,7
2009,15,WAS,NYG,12,45
2009,16,TEN,SD,17,42
2009,16,ATL,BUF,31,3
2009,16,CIN,KC,17,10
2009,16,CLE,OAK,23,9
2009,16,GB,SEA,48,10
2009,16,MIA,HOU,20,27
2009,16,NE,JAC,35,7
2009,16,NO,TB,17,20
2009,16,NYG,CAR,9,41
2009,16,PIT,BAL,23,20
2009,16,ARI,STL,31,10
2009,16,SF,DET,20,6
2009,16,IND,NYJ,15,29
2009,16,PHI,DEN,30,27
2009,16,WAS,DAL,0,17
2009,16,CHI,MIN,36,30
2009,17,BUF,IND,30,7
2009,17,CLE,JAC,23,17
2009,17,DET,CHI,23,37
2009,17,STL,SF,6,28
2009,17,MIA,PIT,24,30
2009,17,MIN,NYG,44,7
2009,17,TB,ATL,10,20
2009,17,CAR,NO,23,10
2009,17,HOU,NE,34,27
2009,17,DAL,PHI,24,0
2009,17,DEN,KC,24,44
2009,17,OAK,BAL,13,21
2009,17,ARI,GB,7,33
2009,17,SD,WAS,23,20
2009,17,SEA,TEN,13,17
2009,17,NYJ,CIN,37,0
