YEAR,WEEK,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2019,1,CHI,GB,3,10
2019,1,CLE,TEN,13,43
2019,1,MIA,BAL,10,59
2019,1,MIN,ATL,28,12
2019,1,NYJ,BUF,16,17
2019,1,PHI,WAS,32,27
2019,1,CAR,LAR,27,30
2019,1,JAC,KC,26,40
2019,1,LAC,IND,30,24
2019,1,SEA,CIN,21,20
2019,1,DAL,NYG,35,17
2019,1,ARI,DET,27,27
2019,1,TB,SF,17,31
2019,1,NE,PIT,33,3
2019,1,NO,HOU,30,28
2019,1,OAK,DEN,24,16
2019,2,CAR,TB,14,20
2019,2,CIN,SF,17,41
2019,2,DET,LAC,13,10
2019,2,GB,MIN,21,16
2019,2,TEN,IND,17,19
2019,2,MIA,NE,0,43
2019,2,NYG,BUF,14,28
2019,2,PIT,SEA,26,28
2019,2,WAS,DAL,21,31
2019,2,BAL,ARI,23,17
2019,2,HOU,JAC,13,12
2019,2,OAK,KC,10,28
2019,2,DEN,CHI,14,16
2019,2,LAR,NO,27,9
2019,2,ATL,PHI,24,20
2019,2,NYJ,CLE,3,23
2019,3,JAC,TEN,20,7
2019,3,BUF,CIN,21,17
2019,3,DAL,MIA,31,6
2019,3,GB,DEN,27,16
2019,3,IND,ATL,27,24
2019,3,KC,BAL,33,28
2019,3,MIN,OAK,34,14
2019,3,NE,NYJ,30,14
2019,3,PHI,DET,24,27
2019,3,ARI,CAR,20,38
2019,3,TB,NYG,31,32
2019,3,LAC,HOU,20,27
2019,3,SF,PIT,24,20
2019,3,SEA,NO,27,33
2019,3,CLE,LAR,13,20
2019,3,WAS,CHI,15,31
2019,4,GB,PHI,27,34
2019,4,ATL,TEN,10,24
2019,4,BUF,NE,10,16
2019,4,DET,KC,30,34
2019,4,IND,OAK,24,31
2019,4,MIA,LAC,10,30
2019,4,NYG,WAS,24,3
2019,4,BAL,CLE,25,40
2019,4,HOU,CAR,10,16
2019,4,LAR,TB,40,55
2019,4,ARI,SEA,10,27
2019,4,CHI,MIN,16,6
2019,4,DEN,JAC,24,26
