YEAR,WEEK,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2018,1,PHI,ATL,18,12
2018,1,CLE,PIT,21,21
2018,1,IND,CIN,23,34
2018,1,MIA,TEN,27,20
2018,1,MIN,SF,24,16
2018,1,NE,HOU,27,20
2018,1,NO,TB,40,48
2018,1,NYG,JAC,15,20
2018,1,BAL,BUF,47,3
2018,1,LAC,KC,28,38
2018,1,DEN,SEA,27,24
2018,1,ARI,WAS,6,24
2018,1,CAR,DAL,16,8
2018,1,GB,CHI,24,23
2018,1,DET,NYJ,17,48
2018,1,OAK,LAR,13,33
2018,2,CIN,BAL,34,23
2018,2,ATL,CAR,31,24
2018,2,BUF,LAC,20,31
2018,2,GB,MIN,29,29
2018,2,TEN,HOU,20,17
2018,2,NO,CLE,21,18
2018,2,NYJ,MIA,12,20
2018,2,PIT,KC,37,42
2018,2,TB,PHI,27,21
2018,2,WAS,IND,9,21
2018,2,LAR,ARI,34,0
2018,2,SF,DET,30,27
2018,2,DEN,OAK,20,19
2018,2,JAC,NE,31,20
2018,2,DAL,NYG,20,13
2018,2,CHI,SEA,24,17
2018,3,CLE,NYJ,21,17
2018,3,ATL,NO,37,43
2018,3,KC,SF,38,27
2018,3,MIA,OAK,28,20
2018,3,MIN,BUF,6,27
2018,3,PHI,IND,20,16
2018,3,WAS,GB,31,17
2018,3,CAR,CIN,31,21
2018,3,JAC,TEN,6,9
2018,3,BAL,DEN,27,14
2018,3,HOU,NYG,22,27
2018,3,LAR,LAC,35,23
2018,3,ARI,CHI,14,16
2018,3,SEA,DAL,24,13
2018,3,DET,NE,26,10
2018,3,TB,PIT,27,30
2018,4,LAR,MIN,38,31
2018,4,ATL,CIN,36,37
2018,4,CHI,TB,48,10
2018,4,DAL,DET,26,24
2018,4,GB,BUF,22,0
2018,4,TEN,PHI,26,23
2018,4,IND,HOU,34,37
2018,4,NE,MIA,38,7
2018,4,JAC,NYJ,31,12
2018,4,OAK,CLE,45,42
2018,4,ARI,SEA,17,20
2018,4,NYG,NO,18,33
2018,4,LAC,SF,29,27
2018,4,PIT,BAL,14,26
2018,4,DEN,KC,23,27
2018,5,NE,IND,38,24
2018,5,BUF,TEN,13,12
2018,5,CIN,MIA,27,17
2018,5,CLE,BAL,12,9
2018,5,DET,GB,31,23
2018,5,KC,JAC,30,14
2018,5,NYJ,DEN,34,16
