YEAR,WEEK,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2021,1,TB,DAL,31,29
2021,1,ATL,PHI,6,32
2021,1,BUF,PIT,16,23
2021,1,CIN,MIN,27,24
2021,1,DET,SF,33,41
2021,1,TEN,ARI,13,38
2021,1,IND,SEA,16,28
2021,1,WAS,LAC,16,20
2021,1,CAR,NYJ,19,14
2021,1,HOU,JAC,37,21
2021,1,KC,CLE,33,29
2021,1,NE,MIA,16,17
2021,1,NO,GB,38,3
2021,1,NYG,DEN,13,27
2021,1,LAR,CHI,34,14
2021,1,LV,BAL,33,27
2021,2,WAS,NYG,30,29
2021,2,CHI,CIN,20,17
2021,2,CLE,HOU,31,21
2021,2,IND,LAR,24,27
2021,2,MIA,BUF,0,35
2021,2,NYJ,NE,6,25
2021,2,PHI,SF,11,17
2021,2,PIT,LV,17,26
2021,2,CAR,NO,26,7
2021,2,JAC,DEN,13,23
2021,2,ARI,MIN,34,33
2021,2,TB,ATL,48,25
2021,2,LAC,DAL,17,20
2021,2,SEA,TEN,30,33
2021,2,BAL,KC,36,35
2021,2,GB,DET,35,17
2021,3,HOU,CAR,9,24
2021,3,BUF,WAS,43,21
2021,3,CLE,CHI,26,6
2021,3,DET,BAL,17,19
2021,3,TEN,IND,25,16
2021,3,KC,LAC,24,30
2021,3,NE,NO,13,28
2021,3,NYG,ATL,14,17
2021,3,PIT,CIN,10,24
2021,3,JAC,ARI,19,31
2021,3,DEN,NYJ,26,0
2021,3,LV,MIA,31,28
2021,3,LAR,TB,34,24
2021,3,MIN,SEA,30,17
2021,3,SF,GB,28,30
2021,3,DAL,PHI,41,21
2021,4,CIN,JAC,24,21
2021,4,ATL,WAS,30,34
2021,4,BUF,HOU,40,0
2021,4,CHI,DET,24,14
2021,4,DAL,CAR,36,28
2021,4,MIA,IND,17,27
2021,4,MIN,CLE,7,14
2021,4,NO,NYG,21,27
2021,4,NYJ,TEN,27,24
2021,4,PHI,KC,30,42
2021,4,LAR,ARI,20,37
2021,4,SF,SEA,21,28
2021,4,DEN,BAL,7,23
2021,4,GB,PIT,27,17
2021,4,NE,TB,17,19
2021,4,LAC,LV,28,14
2021,5,SEA,LAR,17,26
2021,5,ATL,NYJ,27,20
2021,5,CIN,GB,22,25
2021,5,MIN,DET,19,17
2021,5,PIT,DEN,27,19
2021,5,TB,MIA,45,17
2021,5,WAS,NO,22,33
2021,5,CAR,PHI,18,21
2021,5,JAC,TEN,19,37
2021,5,HOU,NE,22,25
2021,5,LV,CHI,9,20
2021,5,LAC,CLE,47,42
2021,5,DAL,NYG,44,20
2021,5,ARI,SF,17,10
2021,5,KC,BUF,20,38
2021,5,BAL,IND,31,25
2021,6,PHI,TB,22,28
2021,6,JAC,MIA,23,20
2021,6,CHI,GB,14,24
2021,6,DET,CIN,11,34
2021,6,IND,HOU,31,3
2021,6,NYG,LAR,11,38
2021,6,WAS,KC,13,31
2021,6,CAR,MIN,28,34
2021,6,BAL,LAC,34,6
2021,6,CLE,ARI,14,37
2021,6,DEN,LV,24,34
2021,6,NE,DAL,29,35
2021,6,PIT,SEA,23,20
2021,6,TEN,BUF,34,31
2021,7,CLE,DEN,17,14
2021,7,GB,WAS,24,10
2021,7,TEN,KC,27,3
2021,7,MIA,ATL,28,30
2021,7,NE,NYJ,54,13
2021,7,NYG,CAR,25,3
2021,7,BAL,CIN,17,41
2021,7,LV,PHI,33,22
2021,7,LAR,DET,28,19
2021,7,ARI,HOU,31,5
2021,7,TB,CHI,38,3
2021,7,SF,IND,18,30
2021,7,SEA,NO,10,13
2021,8,ARI,GB,21,24
2021,8,ATL,CAR,13,19
2021,8,BUF,MIA,26,11
2021,8,CHI,SF,22,33
2021,8,CLE,PIT,10,15
2021,8,DET,PHI,6,44
2021,8,IND,TEN,31,34
2021,8,NYJ,CIN,34,31
2021,8,HOU,LAR,22,38
2021,8,LAC,NE,24,27
2021,8,SEA,JAC,31,7
2021,8,DEN,WAS,17,10
2021,8,NO,TB,36,27
2021,8,MIN,DAL,16,20
2021,8,KC,NYG,20,17
2021,9,IND,NYJ,45,30
2021,9,CIN,CLE,16,41
2021,9,DAL,DEN,16,30
2021,9,MIA,HOU,17,9
2021,9,NO,ATL,25,27
2021,9,NYG,LV,23,16
2021,9,CAR,NE,6,24
2021,9,JAC,BUF,9,6
2021,9,BAL,MIN,34,31
2021,9,PHI,LAC,24,27
2021,9,KC,GB,13,7
2021,9,SF,ARI,17,31
2021,9,LAR,TEN,16,28
2021,9,PIT,CHI,29,27
2021,10,MIA,BAL,22,10
2021,10,DAL,ATL,43,3
2021,10,TEN,NO,23,21
2021,10,IND,JAC,23,17
2021,10,NE,CLE,45,7
2021,10,NYJ,BUF,17,45
2021,10,PIT,DET,16,16
2021,10,WAS,TB,29,19
2021,10,ARI,CAR,10,34
2021,10,LAC,MIN,20,27
2021,10,DEN,PHI,13,30
2021,10,GB,SEA,17,0
2021,10,LV,KC,14,41
2021,10,SF,LAR,31,10
2021,11,ATL,NE,0,25
2021,11,BUF,IND,15,41
2021,11,CHI,BAL,13,16
2021,11,CLE,DET,13,10
2021,11,TEN,HOU,13,22
2021,11,MIN,GB,34,31
2021,11,NYJ,MIA,17,24
2021,11,PHI,NO,40,29
2021,11,CAR,WAS,21,27
2021,11,JAC,SF,10,30
2021,11,LV,CIN,13,32
2021,11,KC,DAL,19,9
2021,11,SEA,ARI,13,23
2021,11,LAC,PIT,41,37
2021,11,TB,NYG,30,10
2021,12,DET,CHI,14,16
2021,12,DAL,LV,33,36
2021,12,NO,BUF,6,31
2021,12,CIN,PIT,41,10
2021,12,IND,TB,31,38
2021,12,MIA,CAR,33,10
2021,12,NE,TEN,36,13
2021,12,NYG,PHI,13,7
2021,12,JAC,ATL,14,21
2021,12,HOU,NYJ,14,21
2021,12,DEN,LAC,28,13
2021,12,GB,LAR,36,28
2021,12,SF,MIN,34,26
2021,12,BAL,CLE,16,10
2021,12,WAS,SEA,17,15
2021,13,NO,DAL,17,27
2021,13,ATL,TB,17,30
