YEAR,WEEK,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2016,1,DEN,CAR,21,20
2016,1,ATL,TB,24,31
2016,1,TEN,MIN,16,25
2016,1,KC,LAC,33,27
2016,1,NO,OAK,34,35
2016,1,NYJ,CIN,22,23
2016,1,PHI,CLE,29,10
2016,1,JAC,GB,23,27
2016,1,BAL,BUF,13,7
2016,1,HOU,CHI,23,14
2016,1,SEA,MIA,12,10
2016,1,DAL,NYG,19,20
2016,1,IND,DET,35,39
2016,1,ARI,NE,21,23
2016,1,WAS,PIT,16,38
2016,1,SF,LAR,28,0
2016,2,BUF,NYJ,31,37
2016,2,CLE,BAL,20,25
2016,2,DET,TEN,15,16
2016,2,NE,MIA,31,24
2016,2,NYG,NO,16,13
2016,2,PIT,CIN,24,16
2016,2,WAS,DAL,23,27
2016,2,CAR,SF,46,27
2016,2,HOU,KC,19,12
2016,2,LAR,SEA,9,3
2016,2,ARI,TB,40,7
2016,2,DEN,IND,34,20
2016,2,OAK,ATL,28,35
2016,2,LAC,JAC,38,14
2016,2,MIN,GB,17,14
2016,2,CHI,PHI,14,29
2016,3,NE,HOU,27,0
2016,3,BUF,ARI,33,18
2016,3,CIN,DEN,17,29
2016,3,GB,DET,34,27
2016,3,TEN,OAK,10,17
2016,3,MIA,CLE,30,24
2016,3,NYG,WAS,27,29
2016,3,CAR,MIN,10,22
2016,3,JAC,BAL,17,19
2016,3,SEA,SF,37,18
2016,3,TB,LAR,32,37
2016,3,IND,LAC,26,22
2016,3,KC,NYJ,24,3
2016,3,PHI,PIT,34,3
2016,3,DAL,CHI,31,17
2016,3,NO,ATL,32,45
2016,4,CIN,MIA,22,7
2016,4,JAC,IND,30,27
2016,4,ATL,CAR,48,33
2016,4,CHI,DET,17,14
2016,4,NE,BUF,0,16
2016,4,NYJ,SEA,17,27
2016,4,WAS,CLE,31,20
2016,4,BAL,OAK,27,28
2016,4,HOU,TEN,27,20
2016,4,TB,DEN,7,27
2016,4,ARI,LAR,13,17
2016,4,LAC,NO,34,35
2016,4,SF,DAL,17,24
2016,4,PIT,KC,43,14
2016,4,MIN,NYG,24,10
2016,5,SF,ARI,21,33
2016,5,CLE,NE,13,33
2016,5,DET,PHI,24,23
2016,5,IND,CHI,29,23
2016,5,MIA,TEN,17,30
2016,5,MIN,HOU,31,13
2016,5,PIT,NYJ,31,13
2016,5,BAL,WAS,10,16
2016,5,DEN,ATL,16,23
2016,5,DAL,CIN,28,14
2016,5,OAK,LAC,34,31
2016,5,LAR,BUF,19,30
2016,5,GB,NYG,23,16
2016,5,CAR,TB,14,17
2016,6,LAC,DEN,21,13
2016,6,BUF,SF,45,16
2016,6,CHI,JAC,16,17
2016,6,DET,LAR,31,28
2016,6,TEN,CLE,28,26
2016,6,MIA,PIT,30,15
2016,6,NE,CIN,35,17
2016,6,NO,CAR,41,38
2016,6,NYG,BAL,27,23
2016,6,WAS,PHI,27,20
2016,6,OAK,KC,10,26
2016,6,GB,DAL,16,30
2016,6,SEA,ATL,26,24
2016,6,HOU,IND,26,23
2016,6,ARI,NYJ,28,3
2016,7,GB,CHI,26,10
2016,7,LAR,NYG,10,17
2016,7,CIN,CLE,31,17
2016,7,DET,WAS,20,17
2016,7,TEN,IND,26,34
2016,7,KC,NO,27,21
2016,7,MIA,BUF,28,25
2016,7,NYJ,BAL,24,16
2016,7,PHI,MIN,21,10
2016,7,JAC,OAK,16,33
2016,7,ATL,LAC,30,33
2016,7,SF,TB,17,34
2016,7,PIT,NE,16,27
2016,7,ARI,SEA,6,6
2016,7,DEN,HOU,27,9
2016,8,TEN,JAC,36,22
2016,8,CIN,WAS,27,27
2016,8,BUF,NE,25,41
2016,8,CLE,NYJ,28,31
2016,8,IND,KC,14,30
2016,8,NO,SEA,25,20
2016,8,TB,OAK,24,30
2016,8,CAR,ARI,30,20
2016,8,HOU,DET,20,13
2016,8,DEN,LAC,27,19
2016,8,ATL,GB,33,32
2016,8,DAL,PHI,29,23
2016,8,CHI,MIN,20,10
