YEAR,WEEK,TEAM,LG,LT,C,RT,RG,TE,HB,QB,WR,DE,DT,LB,CB,S,ST,LS,K,P
2013,1,ARI,55.7,49.0,62.0,48.5,62.9,70.02345679012345,53.142857142857146,86.1,78.64509803921568,46.01933333333333,70.0,64.17773279352227,64.96551724137932,64.5,60.826643598615924,51.6,60.0,60.6
2013,1,ATL,68.3,53.5,60.5688524590164,54.9,84.8,66.78253968253968,65.07428571428572,79.9,64.16619718309857,65.0027397260274,62.234939759036145,57.666666666666664,67.87942857142858,63.27391304347825,62.58970588235297,44.5,60.0,60.5
2013,1,BAL,58.2,64.2,54.5,55.854945054945055,81.0,53.174311926605505,66.65523809523809,63.8,62.47816593886462,63.13076923076924,65.6041095890411,60.9496551724138,54.03076923076923,51.89793103448277,55.91232558139535,38.8,60.0,60.8
2013,1,BUF,38.9,72.1,66.2,68.8,70.4,66.66610169491526,54.698412698412696,74.9,57.71295336787565,52.356198347107444,58.754285714285714,59.76925566343042,58.05551181102362,47.49858490566038,57.92658610271905,49.8,60.0,60.6
2013,1,CAR,44.11971830985915,70.7,79.8,62.06037735849057,75.06363636363638,61.41690140845071,53.16811594202899,74.7,64.96974789915966,74.19858156028369,62.75299145299146,69.09375,54.486227544910186,52.05692307692308,58.39583333333334,66.3,60.0,60.1
2013,1,CHI,80.2,56.0,68.3,73.9,58.7,58.13913043478261,58.642857142857146,90.0,77.63941605839418,59.41951219512195,60.524770642201844,68.5880503144654,68.66641221374046,46.1,56.70080645161289,51.6,60.0,60.6
2013,1,CIN,66.4,77.2,58.7,77.5,83.5,70.76,58.27384615384616,80.1,67.62916666666666,71.02589928057554,62.74661016949152,66.57151898734178,64.68533333333335,56.41510791366906,58.064173228346455,53.1,60.0,60.3
2013,1,CLE,58.7,76.0,72.6,52.6,42.6,81.30000000000001,58.51724137931034,70.1,58.38505154639175,69.24628099173553,62.058208955223876,68.96080586080586,48.78181818181818,67.03063063063064,60.8062937062937,45.1,60.0,60.3
2013,1,DAL,58.5,73.0,62.9,72.8,45.9,64.80155038759689,70.14729729729729,68.3896103896104,63.81428571428571,78.61774193548389,84.2949152542373,72.23500000000001,60.71883116883116,54.2274193548387,60.57232142857143,49.7,60.1,60.8
2013,1,DEN,71.2,59.6,65.6,68.0,58.7,81.4031914893617,64.26142857142857,80.7,60.82565445026179,70.66464646464647,58.40375,63.55524861878453,70.27172131147539,70.05333333333333,63.55990675990675,54.9,60.1,60.9
2013,1,DET,75.0,50.5,71.9,53.34096385542169,79.97142857142856,49.32264150943397,77.14698795180723,81.0,66.87809523809524,70.45,71.30545454545457,75.33197278911564,60.82343750000001,63.35,56.918495297805634,50.9,60.0,60.8
2013,1,GB,39.5,59.1,75.0,66.7,62.5,62.74328358208955,62.68571428571428,77.9,71.71055555555556,54.7965034965035,63.7,62.31023102310231,59.75852272727273,43.13920454545455,61.587500000000006,50.9,60.0,60.7
2013,1,HOU,65.6,46.5,82.3,69.1,80.4,66.66384615384615,60.14945054945054,90.6,75.4521739130435,70.36698113207547,64.8,60.76612021857923,56.32058823529412,70.21716417910447,60.912080536912725,36.4,60.0,60.8
2013,1,IND,77.1,46.7,57.1,66.5,58.92068965517242,58.48051948051948,60.22222222222222,81.7,73.53596491228069,73.78943089430894,63.576470588235296,51.75873015873016,64.19347826086955,87.35813953488373,61.762686567164195,54.2,60.0,60.4
2013,1,JAC,52.15492957746479,61.1,64.7,57.7,58.4,47.48421052631579,64.95483870967742,48.44507042253521,52.44462365591398,53.908888888888896,56.28849557522124,56.85,68.60204081632654,52.44488188976378,56.11671732522797,44.5,60.0,60.3
2013,1,KC,75.5,80.74375,71.11774193548388,59.5,72.7,52.370588235294115,65.71724137931034,73.56129032258065,61.116233766233776,67.44356435643566,70.2,85.46050420168068,73.1801204819277,73.58084112149531,59.320063694267525,48.8,60.0,60.8
2013,1,OAK,31.8,52.5,60.7,75.75,62.4,67.61084337349396,57.56060606060605,68.0,68.065625,70.88285714285715,60.2029702970297,60.71466666666666,53.51937984496124,71.34583333333333,59.208500000000015,54.4,60.0,60.3
2013,1,SD,72.1,67.8,64.5,45.0,41.2,57.068000000000005,67.84590163934426,77.3,64.42248062015504,58.08217054263565,53.096721311475406,69.44359861591695,56.594818652849746,70.45,57.81666666666667,81.8,60.0,60.6
2013,1,STL,55.1,69.5,66.8,60.68088235294118,75.9,74.65510204081633,58.63939393939393,67.0,63.90470588235295,77.85348837209303,71.029203539823,51.93806451612903,56.76855670103093,59.164625850340144,61.31517241379309,52.4,60.0,60.5
2013,1,MIA,64.1,62.7,61.0,54.7,54.6,58.95102040816327,56.870270270270275,63.1,67.23273809523809,59.73057324840765,65.76438356164383,51.70597014925373,70.55858585858586,60.90000000000001,56.52909090909089,62.7,60.0,60.7
2013,1,MIN,68.8,51.5,57.3,53.2,47.8,59.19701492537313,70.02962962962962,47.0,67.80393700787401,75.3358695652174,56.5162962962963,44.673446327683614,63.26909871244636,60.5,62.155727554179556,57.9,60.0,60.6
2013,1,NE,81.6,75.74158415841583,67.4,72.9,65.2,53.49183673469388,68.50275229357798,66.3,66.85420168067226,74.09270072992702,65.05000000000001,48.578571428571436,67.33809523809522,64.01811023622047,61.77636363636364,36.7,60.0,67.4
2013,1,NO,66.9,64.1,57.8,72.69583333333334,42.0,74.98571428571428,65.16857142857143,67.0,66.47777777777777,70.27196969696969,67.31562500000001,72.35763888888889,60.9528,60.73224043715848,59.14218181818182,52.4,60.0,60.0
2013,1,NYG,58.9,44.5,63.15806451612904,58.8,47.3,58.58142857142857,45.70547945205479,74.7,78.01483870967742,66.23719512195123,66.84166666666667,63.12373737373738,62.22620320855614,73.94350649350649,56.48818443804035,76.5,60.0,60.5
2013,1,NYJ,57.1,53.5,59.513333333333335,87.5,65.7,69.99629629629631,54.727619047619044,68.2,60.64656084656084,56.16535433070866,82.93,71.6717213114754,56.2317880794702,60.47083333333333,62.102922077922095,30.0,60.0,60.6
2013,1,PHI,88.3,62.145,77.5,77.7,65.5,74.81739130434782,68.93125,50.1,65.02894736842104,54.75714285714285,54.22647058823529,57.788000000000004,71.24484536082474,54.681999999999995,64.68235294117648,49.7,60.0,60.7
2013,1,PIT,76.5,72.1,51.42857142857143,48.1,67.4,52.83571428571429,48.4,76.1,67.94893617021276,56.15597014925373,78.82083333333334,53.86194029850746,63.043137254901964,63.55597014925373,62.058984375000016,52.3,60.0,60.2
2013,1,SF,74.1,59.4,56.98072289156627,72.8,72.37586206896552,64.82254901960785,58.35833333333334,73.2,71.30148148148149,68.89495798319328,27.5,62.685042735042735,56.96340206185567,72.15360000000001,58.67648809523809,36.3,60.0,60.9
2013,1,SEA,52.85230769230769,58.2,65.1,71.64179104477611,67.2,53.237647058823526,59.289333333333346,77.6,69.76012269938653,59.91391304347827,63.39873417721519,52.506,66.26829268292683,58.86095238095238,61.62513089005233,54.0,60.0,60.1
2013,1,TB,66.1,76.8,76.13548387096775,61.8,53.5,49.26818181818181,44.309090909090905,55.4,70.75576923076923,59.13,68.70845070422534,62.9343023255814,68.09267015706807,66.0,59.886217948717935,50.9,60.0,60.6
2013,1,TEN,73.8,70.1,55.0,53.7,80.6,58.696,65.25903614457832,70.2,64.16377952755906,64.42291666666667,73.3576923076923,62.34148148148147,69.8113475177305,59.2214953271028,61.43036437246962,37.3,60.0,66.9
2013,1,WAS,77.4,75.0,71.2,64.3,70.3,60.127472527472534,57.17701149425288,58.0,64.4979695431472,49.65277777777778,75.9,50.039440993788816,57.41694915254238,43.185,56.85791139240507,45.7,60.0,60.4
2013,2,ARI,55.2,67.01298701298701,62.0,64.01558441558441,53.9,53.12894736842105,71.17777777777779,57.2,64.86168224299065,58.29761904761905,57.0,53.51086956521739,64.82758620689656,54.925625000000004,61.46718750000001,50.9,60.0,60.6
2013,2,ATL,68.3,44.7,65.7,68.52089552238806,81.85846153846154,56.12564102564103,67.57,81.5,68.90745341614907,59.102985074626865,51.708749999999995,54.56010638297872,62.24312796208531,64.44999999999999,62.20470219435737,30.0,60.0,60.9
2013,2,BAL,64.6,61.2,57.5,69.8,68.9,52.16477272727273,58.26422018348623,80.0,68.01288343558281,57.43414634146342,65.75,68.54301470588237,67.6843137254902,63.54846153846153,61.38062015503875,50.9,60.0,60.6
2013,2,BUF,35.7,87.0,70.8,65.0,70.8,43.75121951219512,72.72164948453609,60.6,70.83112244897958,58.74503311258277,51.5,64.05663082437276,62.49897959183673,63.83027027027027,55.289808917197455,76.5,60.0,60.5
2013,2,CAR,75.45,74.1,76.3,52.1,60.1,79.72649572649573,65.35,61.7,64.56288659793812,56.284375,64.21571428571428,57.995580110497244,59.514948453608255,66.67,61.29934210526317,50.4,60.0,60.7
2013,2,CHI,76.6,66.6,77.4,49.9,77.4,80.90967741935484,64.43132530120481,66.3,64.24528301886792,59.3536231884058,57.60932203389831,77.4953488372093,61.73513513513513,50.003125,64.45770491803276,37.5,60.0,66.7
2013,2,CIN,83.1,80.03333333333333,77.6,69.1,76.2,66.45460526315789,62.85555555555555,57.8,61.27860962566845,65.63703703703703,61.44105263157894,58.748695652173915,67.50365853658536,59.33720930232558,55.336101083032496,30.4,60.0,36.4
2013,2,CLE,80.3,81.3,67.8,57.9,39.9,65.6258426966292,65.77916666666667,73.96190476190476,59.785714285714285,54.47230769230769,54.72333333333334,63.28373702422145,63.00697674418605,66.63262411347519,57.278544061302675,29.4,60.0,60.4
2013,2,DAL,57.3,72.9,49.56307692307692,77.2,63.29687500000001,59.408256880733944,60.383050847457625,68.8,69.79867549668876,71.61176470588236,66.87045454545455,44.529878048780496,69.83099415204678,64.5,63.711307420494656,52.3,60.0,60.5
2013,2,DEN,64.0,74.7,68.6,66.12,70.6,72.23669724770643,66.77894736842106,76.3,58.537948717948716,60.44488636363636,53.03307692307692,68.92571428571429,60.153881278538805,58.103921568627456,63.74033613445379,49.6,60.1,60.9
2013,2,DET,60.0,80.9,84.5,62.5,70.0,63.41323529411764,68.99032258064517,74.7,63.77076023391813,60.435428571428574,74.26976744186048,61.00745341614906,59.5061320754717,60.84527027027027,60.97093749999998,50.2,60.0,60.8
2013,2,GB,85.7,76.29166666666667,70.2,68.3,86.7,73.63023255813954,68.0945205479452,90.1,78.6094527363184,55.79047619047619,75.0,59.20288065843622,58.02289156626506,54.587681159420285,65.00688405797105,51.6,60.0,60.8
2013,2,HOU,59.0,82.30722891566265,94.2,65.8,77.5,68.16201550387598,66.04117647058823,62.6,77.33315217391305,66.83958333333334,55.6875,53.787072243346,65.53786982248519,55.74943181818182,61.265277777777776,86.8,60.0,60.8
2013,2,IND,53.01973684210526,84.9,55.4,61.7,57.297435897435896,75.48977272727274,63.63157894736842,58.4,64.86436781609194,55.38425196850394,68.41428571428571,68.63680297397771,56.76778523489933,66.09545454545453,57.87462686567163,51.6,60.0,60.7
2013,2,JAC,45.5,55.3,69.4,62.5,80.4,57.60125000000001,53.285106382978725,64.0,61.38342541436464,49.653153153153156,69.76595744680851,66.3490909090909,66.58666666666666,44.903174603174605,60.2868686868687,51.6,60.0,61.0
2013,2,KC,65.6,67.41791044776119,62.2,51.7,73.9,70.24597701149425,66.37752808988765,61.9,55.569182389937104,62.87142857142856,63.3,68.18515283842794,47.003937007874015,64.34301075268817,58.826978417266176,37.0,60.0,60.6
2013,2,OAK,33.9,78.8,72.84096385542168,72.3,83.1,59.135937500000004,57.536448598130846,60.2,58.356338028169006,64.32835820895522,62.48196721311476,65.07471264367815,74.94521276595744,65.90368098159509,58.80280701754387,50.9,60.0,67.5
2013,2,SD,68.9,69.9,69.8,75.3,64.1,70.9,64.11808510638298,89.8,69.08333333333333,48.86842105263158,54.51290322580645,63.243243243243256,46.779310344827586,47.99130434782609,61.17172011661809,52.7,60.1,60.7
2013,2,STL,63.8,81.7,67.9,62.29610389610389,82.0,51.94086021505376,65.33076923076925,68.5,66.41682242990655,71.48589743589743,51.284,62.287333333333336,58.1835294117647,60.05,59.02631578947367,50.9,60.0,60.6
2013,2,MIA,79.5,69.1,75.0,70.7,58.12835820895522,65.85312499999999,64.44875,74.7,70.7124183006536,50.85342465753424,71.98111888111889,63.901104972375705,70.30213903743315,57.2,64.78296296296297,51.6,60.0,60.5
