YEAR,WEEK,TEAM,LG,LT,C,RT,RG,TE,HB,QB,WR,DE,DT,LB,CB,S,ST,LS,K,P
2020,1,ARI,54.6,50.0,56.958536585365856,64.74216867469879,48.3,54.25,69.00930232558139,69.9578313253012,63.32217194570136,57.9,55.46551724137931,54.00296296296296,66.05673758865248,68.61129032258064,64.60575539568345,64.8,60.0,60.7
2020,1,ATL,65.45316455696202,70.30123456790123,56.8,61.8,58.1,58.23608247422681,51.90217391304348,83.8,80.29425837320574,53.82000000000001,68.54789915966387,69.98695652173913,47.95602409638553,59.55434782608695,60.88286713286713,63.5,60.0,60.4
2020,1,BAL,68.5,59.489830508474576,51.54915254237288,66.8,41.681355932203395,76.77777777777777,55.04999999999999,87.96101694915255,77.99545454545455,75.55,44.138970588235296,60.63852459016394,55.432972972972976,58.122093023255815,65.26756756756755,48.7,60.0,60.7
2020,1,BUF,65.4,79.29222222222221,62.8,68.4,49.6,75.38412698412698,55.083333333333336,64.6,67.21003584229392,71.66733333333332,55.42702702702702,51.81785714285714,65.075,75.62666666666668,61.352140077821026,64.3,60.0,60.7
2020,1,CAR,56.9,73.1,64.1,67.0,67.7,58.17,65.5828947368421,55.8,63.9245810055866,60.902380952380945,46.72857142857142,42.29354838709677,51.53809523809524,51.83979057591624,63.14178082191779,63.9,60.19444444444444,0.0
2020,1,CHI,55.667692307692306,63.4,69.7,75.7,65.7,58.4116504854369,69.34428571428572,64.7,72.78026315789472,0.0,62.90402298850575,55.87095709570958,70.98396226415093,47.96272189349113,60.049999999999976,64.8,60.0,60.6
2020,1,CIN,75.0,63.5,68.3,63.9,65.7,58.38648648648649,55.43333333333333,61.6,60.81359223300971,64.96809815950921,66.9169014084507,52.17449664429531,62.807281553398056,76.91493506493507,62.43068965517242,64.7,60.0,60.6
2020,1,CLE,72.2,62.93424657534246,74.0,73.1,85.2,63.60683760683761,62.098837209302324,55.7,57.603012048192774,60.406766917293226,81.67547169811321,57.63611111111111,54.976027397260275,37.92916666666667,56.542259414225946,63.2,60.0,0.0
2020,1,DAL,50.7,62.3,62.91891891891892,49.8,67.2,45.63132530120482,80.21756756756757,85.0,64.44900990099009,55.7125786163522,50.61140939597315,42.5568493150685,60.12709359605912,64.59863013698632,60.3788,64.2,60.0,60.5
2020,1,DEN,65.3,67.9,61.5,67.5,59.1,59.07466666666667,68.50735294117648,50.0,59.69407894736842,47.6,56.306629834254146,62.96070287539936,65.95483870967742,62.00245398773007,58.9561475409836,37.4,60.0,60.2
