YEAR,WEEK,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2017,1,NE,KC,27,42
2017,1,BUF,NYJ,21,12
2017,1,CHI,ATL,17,23
2017,1,CIN,BAL,0,20
2017,1,CLE,PIT,18,21
2017,1,DET,ARI,35,23
2017,1,TEN,OAK,16,26
2017,1,WAS,PHI,17,30
2017,1,HOU,JAC,7,29
2017,1,LAR,IND,46,9
2017,1,GB,SEA,17,9
2017,1,SF,CAR,3,23
2017,1,DAL,NYG,19,3
