YEAR,WEEK,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2022,1,LAR,BUF,10,31
2022,1,ATL,NO,26,27
2022,1,CHI,SF,19,10
2022,1,CIN,PIT,20,23
2022,1,DET,PHI,35,38
2022,1,MIA,NE,20,7
2022,1,NYJ,BAL,9,24
2022,1,WAS,JAC,28,22
2022,1,CAR,CLE,24,26
2022,1,HOU,IND,20,20
2022,1,TEN,NYG,20,21
2022,1,MIN,GB,23,7
2022,1,ARI,KC,21,44
2022,1,LAC,LV,24,19
2022,1,DAL,TB,3,19
2022,1,SEA,DEN,17,16
2022,2,KC,LAC,27,24
2022,2,CLE,NYJ,30,31
2022,2,DET,WAS,36,27
2022,2,NO,TB,10,20
2022,2,NYG,CAR,19,16
2022,2,PIT,NE,14,17
2022,2,JAC,IND,24,0
2022,2,BAL,MIA,38,42
2022,2,LAR,ATL,31,27
2022,2,SF,SEA,27,7
2022,2,DAL,CIN,20,17
2022,2,DEN,HOU,16,9
2022,2,LV,ARI,23,29
2022,2,GB,CHI,27,10
2022,2,BUF,TEN,41,7
2022,2,PHI,MIN,24,7
2022,3,CLE,PIT,29,17
2022,3,CHI,HOU,23,20
2022,3,TEN,LV,24,22
2022,3,IND,KC,20,17
2022,3,MIA,BUF,21,19
2022,3,MIN,DET,28,24
2022,3,NE,BAL,26,37
2022,3,NYJ,CIN,12,27
2022,3,WAS,PHI,8,24
2022,3,CAR,NO,22,14
2022,3,LAC,JAC,10,38
2022,3,ARI,LAR,12,20
2022,3,SEA,ATL,23,27
2022,3,TB,GB,12,14
2022,3,DEN,SF,11,10
2022,3,NYG,DAL,16,23
2022,4,CIN,MIA,27,15
2022,4,NO,MIN,25,28
2022,4,ATL,CLE,23,20
2022,4,DAL,WAS,25,10
2022,4,DET,SEA,45,48
2022,4,IND,TEN,17,24
2022,4,NYG,CHI,20,12
2022,4,PHI,JAC,29,21
2022,4,PIT,NYJ,20,24
2022,4,BAL,BUF,20,23
2022,4,HOU,LAC,24,34
2022,4,CAR,ARI,16,26
2022,4,GB,NE,27,24
2022,4,LV,DEN,32,23
2022,4,TB,KC,31,41
2022,4,SF,LAR,24,9
2022,5,DEN,IND,9,12
2022,5,GB,NYG,22,27
2022,5,BUF,PIT,38,3
2022,5,CLE,LAC,28,30
2022,5,MIN,CHI,29,22
2022,5,NE,DET,29,0
2022,5,NO,SEA,39,32
2022,5,NYJ,MIA,40,17
2022,5,TB,ATL,21,15
2022,5,WAS,TEN,17,21
2022,5,JAC,HOU,6,13
2022,5,CAR,SF,15,37
2022,5,LAR,DAL,10,22
2022,5,ARI,PHI,17,20
2022,5,BAL,CIN,19,17
2022,5,KC,LV,30,29
2022,6,CHI,WAS,7,12
2022,6,ATL,SF,28,14
2022,6,CLE,NE,15,38
2022,6,GB,NYJ,10,27
2022,6,IND,JAC,34,27
2022,6,MIA,MIN,16,24
2022,6,NO,CIN,26,30
2022,6,NYG,BAL,24,20
2022,6,PIT,TB,20,18
2022,6,LAR,CAR,24,10
2022,6,SEA,ARI,19,9
2022,6,KC,BUF,20,24
2022,6,PHI,DAL,26,17
2022,6,LAC,DEN,19,16
2022,7,ARI,NO,42,34
2022,7,CIN,ATL,35,17
2022,7,DAL,DET,24,6
2022,7,TEN,IND,19,10
2022,7,WAS,GB,23,21
2022,7,CAR,TB,21,3
2022,7,JAC,NYG,17,23
2022,7,BAL,CLE,23,20
2022,7,DEN,NYJ,9,16
2022,7,LV,HOU,38,20
2022,7,LAC,SEA,23,37
2022,7,SF,KC,23,44
2022,7,MIA,PIT,16,10
2022,7,NE,CHI,14,33
