YEAR,WEEK,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2010,1,NO,MIN,14,9
2010,1,BUF,MIA,10,15
2010,1,CHI,DET,19,14
2010,1,TEN,OAK,38,13
2010,1,NE,CIN,38,24
2010,1,NYG,CAR,31,18
2010,1,PIT,ATL,15,9
2010,1,TB,CLE,17,14
2010,1,JAC,DEN,24,17
2010,1,HOU,IND,34,24
2010,1,STL,ARI,13,17
2010,1,PHI,GB,20,27
2010,1,SEA,SF,31,6
2010,1,WAS,DAL,13,7
2010,1,NYJ,BAL,9,10
2010,1,KC,SD,21,14
2010,2,ATL,ARI,41,7
2010,2,CIN,BAL,15,10
2010,2,CLE,KC,14,16
2010,2,DAL,CHI,20,27
2010,2,DET,PHI,32,35
2010,2,GB,BUF,34,7
2010,2,TEN,PIT,11,19
2010,2,MIN,MIA,10,14
2010,2,CAR,TB,7,20
2010,2,DEN,SEA,31,14
2010,2,OAK,STL,16,14
2010,2,NYJ,NE,28,14
2010,2,SD,JAC,38,13
2010,2,WAS,HOU,27,30
2010,2,IND,NYG,38,14
2010,2,SF,NO,22,25
2010,3,KC,SF,31,10
2010,3,MIN,DET,24,10
2010,3,NE,BUF,38,30
2010,3,NO,ATL,24,27
2010,3,NYG,TEN,10,29
2010,3,TB,PIT,13,38
2010,3,CAR,CIN,7,20
2010,3,BAL,CLE,24,17
2010,3,HOU,DAL,13,27
2010,3,STL,WAS,30,16
2010,3,JAC,PHI,3,28
2010,3,DEN,IND,13,27
2010,3,ARI,OAK,24,23
2010,3,SEA,SD,27,20
2010,3,MIA,NYJ,23,31
2010,3,CHI,GB,20,17
2010,4,ATL,SF,16,14
2010,4,BUF,NYJ,14,38
2010,4,CLE,CIN,23,20
2010,4,GB,DET,28,26
2010,4,TEN,DEN,20,26
2010,4,STL,SEA,20,3
2010,4,NO,CAR,16,14
2010,4,PIT,BAL,14,17
2010,4,OAK,HOU,24,31
2010,4,JAC,IND,31,28
2010,4,PHI,WAS,12,17
2010,4,SD,ARI,41,10
2010,4,NYG,CHI,17,3
2010,4,MIA,NE,14,41
2010,5,BUF,JAC,26,36
2010,5,CIN,TB,21,24
2010,5,CLE,ATL,10,20
2010,5,DET,STL,44,6
2010,5,IND,KC,19,9
2010,5,WAS,GB,16,13
2010,5,CAR,CHI,6,23
2010,5,BAL,DEN,31,17
2010,5,HOU,NYG,10,34
2010,5,ARI,NO,30,20
2010,5,DAL,TEN,27,34
2010,5,OAK,SD,35,27
2010,5,SF,PHI,24,27
2010,5,NYJ,MIN,29,20
2010,6,CHI,SEA,20,23
2010,6,GB,MIA,20,23
2010,6,STL,SD,20,17
2010,6,NE,BAL,23,20
2010,6,NYG,DET,28,20
2010,6,PHI,ATL,31,17
2010,6,PIT,CLE,28,10
2010,6,TB,NO,6,31
2010,6,HOU,KC,35,31
2010,6,DEN,NYJ,20,24
2010,6,SF,OAK,17,9
2010,6,MIN,DAL,24,21
2010,6,WAS,IND,24,27
2010,6,JAC,TEN,3,30
2010,7,ATL,CIN,39,32
2010,7,CHI,WAS,14,17
2010,7,TEN,PHI,37,19
2010,7,KC,JAC,42,20
2010,7,MIA,PIT,22,23
2010,7,NO,CLE,17,30
2010,7,TB,STL,18,17
2010,7,CAR,SF,23,20
2010,7,BAL,BUF,37,34
2010,7,SEA,ARI,22,10
2010,7,DEN,OAK,14,59
2010,7,SD,NE,20,23
2010,7,GB,MIN,28,24
2010,7,DAL,NYG,35,41
2010,8,CIN,MIA,14,22
2010,8,DAL,JAC,17,35
2010,8,DET,WAS,37,25
2010,8,KC,BUF,13,10
2010,8,STL,CAR,20,10
2010,8,NYJ,GB,0,9
2010,8,SF,DEN,24,16
2010,8,SD,TEN,33,25
2010,8,OAK,SEA,33,3
2010,8,NE,MIN,28,18
2010,8,ARI,TB,35,38
2010,8,NO,PIT,20,10
2010,8,IND,HOU,30,17
2010,9,ATL,TB,27,21
2010,9,BUF,CHI,19,22
2010,9,CLE,NE,34,14
2010,9,DET,NYJ,20,23
2010,9,MIN,ARI,27,24
2010,9,CAR,NO,3,34
2010,9,BAL,MIA,26,10
2010,9,HOU,SD,23,29
