YEAR,WEEK,TEAM,LG,LT,C,RT,RG,TE,HB,QB,WR,DE,DT,LB,CB,S,ST,LS,K,P
2018,1,ARI,41.2,57.8,60.1,65.08703703703704,62.0,53.241379310344826,57.029310344827586,43.7,57.77094594594594,55.24113924050633,62.29371069182388,59.75609756097561,60.46936170212766,54.08496732026144,64.79758454106278,63.2,60.0,60.0
2018,1,ATL,60.2,73.5,60.4,47.3,63.9,51.40659340659341,57.05764705882353,47.5,66.13333333333334,51.481,59.68111888111888,69.83604060913706,70.04106280193236,70.54689655172413,55.510701107011066,44.9,60.0,60.6
2018,1,BAL,52.6,62.6,50.9,58.1125,64.51875,56.02,59.71397849462365,75.07058823529412,57.10769230769231,0.0,70.7515625,64.92070312499999,83.54525139664804,67.07432432432432,58.85077399380806,61.3,60.1,60.9
2018,1,BUF,62.2,58.283076923076926,40.0,68.3,58.5,55.35324675324675,54.40149253731343,48.8,53.013407821229045,61.98645161290324,64.75641025641026,70.04077669902912,58.21470588235294,67.0327044025157,62.29292035398229,50.2,60.0,60.4
2018,1,CAR,67.1,64.7304347826087,62.561764705882354,62.96338028169015,62.1,56.10227272727273,66.25955056179775,77.2,60.42115384615384,60.54064516129033,62.83564356435643,72.35724137931035,58.86742857142857,66.6515625,65.522966507177,60.4,60.0,60.3
2018,1,CHI,59.2,83.7,55.2,73.0,81.4,64.74457831325303,73.12183908045976,52.6,59.74777777777777,0.0,71.0031496062992,63.217672413793096,61.075842696629216,66.72439024390245,58.572661870503616,64.5,60.0,40.3
2018,1,CIN,72.8,63.92982456140351,58.1,37.4,56.5,63.91168831168832,62.785,77.0,63.13239436619719,56.782812500000006,71.23014705882353,66.43846153846154,70.82790697674419,82.74451219512196,61.47793103448275,64.3,60.0,60.6
2018,1,CLE,57.2,47.5108695652174,71.9,58.1,65.6,49.39541984732825,56.981521739130436,50.6,63.67168949771689,70.60357142857143,63.70406504065042,60.770292887029306,60.49719626168224,65.81388888888888,60.14662921348314,48.2,60.0,60.8
2018,1,DAL,56.1,57.8,60.1,63.2,70.4,60.69512195121951,56.2608695652174,52.9,61.65680473372781,62.729545454545466,51.59,49.64260355029586,72.6076023391813,58.95,60.979439252336434,44.5,60.0,60.1
2018,1,DEN,68.1,75.09210526315789,83.9,73.6,65.0,63.43092783505155,58.66321839080461,60.0,72.83478260869566,0.0,63.84285714285715,69.63772727272728,68.6794701986755,54.22189781021898,59.70973451327434,65.0,60.0,60.7
