YEAR,WEEK,TEAM,LG,LT,C,RT,RG,TE,HB,QB,WR,DE,DT,LB,CB,S,ST,LS,K,P
2011,1,ARI,72.1,53.4,67.7,50.4,82.1,83.15675675675675,66.01012658227847,60.2,66.38181818181816,60.851369863013694,58.666666666666664,63.53448275862069,49.92458100558659,44.89574468085107,0.0,0.0,0.0,0.0
2011,1,ATL,72.3,69.65211267605635,54.2,69.0,50.8,63.93421052631579,54.728735632183906,71.1,57.57903225806452,57.684210526315795,51.48239999999999,61.92732558139535,52.85757575757576,57.767175572519086,0.0,0.0,0.0,0.0
2011,1,BAL,69.5,59.0,69.3,70.6,75.6,74.31777777777778,69.8440366972477,84.1,58.97328244274809,76.53255813953488,69.2842105263158,67.32173913043479,57.40310559006212,75.86382978723404,0.0,0.0,0.0,0.0
2011,1,BUF,72.24050632911391,72.62857142857143,56.2,55.4,61.6,80.64237288135593,72.5183908045977,72.0909090909091,64.9748717948718,52.973214285714285,58.53103448275861,54.16086956521739,72.09386503067485,67.55641025641025,0.0,0.0,0.0,0.0
2011,1,CAR,65.1,67.6,71.0,54.955555555555556,54.5,78.07641509433962,60.10117647058823,80.2,69.57396449704142,69.42844827586205,56.918749999999996,57.141290322580645,72.69999999999999,45.354615384615386,0.0,0.0,0.0,0.0
2011,1,CHI,57.6,60.6,69.0,61.4,76.61818181818181,72.38374999999999,74.87882352941176,67.1,63.11333333333333,59.35285714285714,69.705,68.46875,67.53157894736842,59.47642857142858,0.0,0.0,0.0,0.0
2011,1,CIN,66.2,77.51571428571428,44.6,53.3,51.3,74.86666666666667,73.474,51.33432835820896,55.515231788079475,67.40569620253163,58.655932203389824,67.36309523809526,51.29240506329114,71.02675159235669,0.0,0.0,0.0,0.0
2011,1,CLE,62.3,59.7,62.3,62.87536231884057,57.2,70.14875,64.90416666666665,66.6,60.36863905325444,61.941044776119405,69.85396825396826,64.2247191011236,69.72048192771085,62.58731343283581,0.0,0.0,0.0,0.0
2011,1,DAL,45.7,77.4,47.6,74.0,61.3,70.121875,61.1779411764706,39.1,73.16906474820144,49.809411764705885,61.53999999999999,64.92249999999999,65.71688311688311,48.806707317073176,0.0,0.0,0.0,0.0
2011,1,DEN,60.7,66.6,49.8,52.9,42.1,60.5936170212766,47.456097560975614,52.0,60.21185567010309,66.3125,54.93706896551724,66.15854922279792,55.91013513513514,72.0764705882353,0.0,0.0,0.0,0.0
2011,1,DET,86.1,73.7,72.2,61.9,81.6,70.37948717948717,62.64,68.0,72.4073619631902,65.96511627906976,71.21068702290076,66.09166666666665,68.44143646408841,70.21384615384615,0.0,0.0,0.0,0.0
