YEAR,WEEK,TEAM,LG,LT,C,RT,RG,TE,HB,QB,WR,DE,DT,LB,CB,S,ST,LS,K,P
2017,1,ARI,64.56,49.023999999999994,65.9,50.1,72.3,53.042857142857144,51.63421052631579,63.3,62.840990990990996,62.13823529411764,66.06615384615384,59.19601449275362,60.06272727272726,75.26470588235294,60.704642857142815,81.5,60.0,60.6
2017,1,ATL,70.3,61.5,84.5,73.7,47.5,65.02307692307691,56.52465753424658,68.8,73.1513888888889,62.30412371134022,67.07762237762238,70.14300518134715,63.533928571428575,56.85588235294117,60.87297297297299,71.7,60.0,60.7
2017,1,BAL,68.2,52.6,59.7,69.8,85.6,69.06862745098039,59.13076923076924,53.1,57.073333333333345,72.61827956989247,91.3,75.64291845493563,64.07235294117648,67.43430656934306,63.101980198019795,59.6,60.0,60.6
2017,1,BUF,93.8,58.6090909090909,73.7,63.8,73.2,52.33245614035087,65.51134020618557,74.0,59.46954022988506,63.88000000000001,69.5047619047619,68.66857142857143,74.33641975308642,89.60000000000001,61.367054263565905,60.6,60.0,60.6
2017,1,CAR,58.3,55.2,70.14626865671642,58.9,90.7,57.3672268907563,64.34935064935067,54.8,59.780575539568346,65.0491935483871,78.51057692307693,83.90791366906475,66.85273972602738,50.75,57.83762886597939,55.2,60.0,60.5
2017,1,CHI,68.6,72.8,38.2,61.7,63.4,65.71666666666665,67.0578947368421,69.1,57.399386503067475,62.851260504201676,46.5,61.88026905829596,65.70604026845638,50.55,61.120295202952036,0.0,60.0,60.4
2017,1,CIN,52.1,58.1,58.3,52.0,49.75409836065574,58.42191780821918,53.42622950819672,40.9,58.87602339181286,63.2045112781955,55.45000000000001,64.08684210526316,66.34534161490683,65.37575757575758,60.23772727272728,50.5,60.0,60.0
2017,1,CLE,61.7,78.9,49.3,66.3,68.7,60.38461538461539,58.51428571428571,65.9,63.6218045112782,53.48103448275862,56.737078651685394,55.71755319148936,66.22168674698794,65.61980198019802,61.75889328063241,59.8,60.0,60.3
2017,1,DAL,65.1,63.2,67.5,65.7,78.7,60.04423076923077,64.64444444444445,62.2,65.68917525773196,72.16640000000001,50.07326732673267,69.37027027027027,74.95192307692308,65.12611940298507,58.37446808510637,64.5,60.0,60.6
2017,1,DEN,60.04782608695651,71.15810810810811,74.5,43.6,63.51304347826086,79.05164835164835,52.34186046511628,69.6,68.7950920245399,68.91759259259258,55.9,64.71458333333332,61.94901960784314,61.65534591194968,64.19576923076923,64.2,60.0,60.5
