YEAR,WEEK,TEAM,LG,LT,C,RT,RG,TE,HB,QB,WR,DE,DT,LB,CB,S,ST,LS,K,P
2016,1,ARI,65.4,69.8,65.2,55.3,56.23442623,68.55538462,72.25507246,70.7,72.93508772,67.90333333,66.8,62.24117647,64.21139896,65.88783784,58.98339768,44.2,60,60.6
2016,1,ATL,80.5,57,91.3,74.3,50.7,67.09506173,61.98395062,64.8,61.8791411,56.94594595,60.52898551,49.96105263,54.13491124,62.378125,62.30670927,60.1,60,60.6
2016,1,BAL,51.4,61.2,55.7,68.4,75.8,56.10526316,71.58941176,64.6,66.2625,59.15081967,64.01538462,58.55961538,69.62478632,69.0019802,60.815,82.6,60,60.4
2016,1,BUF,68.7,69.39836066,59.7,63.1,59.6,64.71803279,54.71578947,58.6,65.06869565,64.37822581,74.4,67.28345588,71.36079545,63.55185185,61.21780822,34.8,60,60.4
2016,1,CAR,53.7,69.27123288,68.1,51.2,61,71.01346154,66.38433735,75.6,61.91337209,62.7025641,51.00495868,69.57372263,55.97959184,50.25,60.06468085,64.5,60,60.6
2016,1,CHI,62.4,61,71.3,48.3,77.4,55.94461538,55.83943662,77.9,67.05369128,79.78091603,77.2,71.37123746,66.23970588,64.49328859,64.98421053,59.3,60,60.3
2016,1,CIN,73.7,66.9,57.9,60.77704918,64.5,71.30677966,64.6421875,65.1,76.63544304,54.73797468,61.33070866,58.17142857,64.61400966,68.15,60.02034483,64.5,60,60.7
2016,1,CLE,80.3,80.6,39.4,53.45660377,77.3,47.0640625,63.87777778,47.6,60.05658915,49.95486726,71.45263158,66.38965517,59.55126904,60.35900621,60.60735786,72.2,60,60.2
2016,1,DAL,43.4,72.63974359,68.5,55.3,85.2,61.45306122,51.3626506,68.3,59.67894737,61.2612069,44.83703704,55.91226415,65.02168675,73.74,58.982397,64.5,60,60.7
2016,1,DEN,59.4,68.5,91.6,72.796875,76.1,74.47234043,66.41566265,69.2,67.11883117,53.45703125,54.49310345,67.73684211,69.20380435,56.30769231,61.39508197,58.3,60,60.2
2016,1,DET,55.8,70.04776119,79,81.7,93.8,65.97066667,79.87105263,85.7,62.45290698,58.09342105,55.45121951,51.31165644,61.0393617,64.02083333,63.3930303,55.1,60,60.8
2016,1,GB,78.1,75.8,72.8,62,73.9,59.84482759,60.85806452,68.6,63.8375,63.1,71.75,59.67104377,63.13333333,65.98315217,59.83405018,64.5,60,60.6
2016,1,HOU,46.3,52.2,64.144,65.97692308,54.7,60.87525773,57.4547619,80.6,66.96230366,58.91284404,55.11578947,77.05837563,65.34588235,58.0539823,58.22924188,64.8,60,60.6
2016,1,IND,68.8,81.2,67.5,61.7,69.16901408,81.45604396,57.88333333,94.5,71.25967742,43.81818182,44.99,48.13929961,65.61436782,61.51470588,56.53633634,60,60,60.8
2016,1,JAC,74.6,66.2,65.7,61.8,73.4,77.6,60.8028169,72.4,60.7947644,57.15985401,50.27425743,66.71241379,60.45803109,58.85,60.89399293,63.9,60,60.5
2016,1,KC,61.4,80.9,58.9,78,71.7,70.12941176,71.82028986,73.8,60.31630435,49.16,53.9,59.33085502,56.23453608,59.74539877,59.68391813,64.7,60,60.7
2016,1,LAR,78.8,64.9,61.5,53.8016129,56.73114754,51.73164557,60.69565217,42.6,56.42179487,55.89197531,77.38301887,68.95,54.8813278,71.1502994,62.25471014,64.6,60,60.2
2016,1,MIA,70.2,64.8,70,67.8,66.7,45.4031746,58.15555556,59.9,58.16601307,56.88166667,74.16241611,65.99891304,59.83688889,79.75,62.08995984,64.7,60,60.5
2016,1,MIN,52.2,58.4,65.9,58,58.8,65.71428571,50.79620253,63.2,71.78965517,57.73245033,65.01810345,53.49754601,54.90639535,72.5562963,63.67163121,57,60.1,60.9
2016,1,NE,63.7,62.6,60.8,61.7,55.36197183,71.28876404,60.79090909,54.5,69.11067416,73.92,58.591,70.10872483,63.23855422,56.44569536,60.68045977,63.9,60,60.5
2016,1,NO,54.6,69.6,77.8,70.88705882,66.42857143,46.8057971,58.03176471,83,77.74655172,58.68030303,64.33333333,55.72912088,51.02669903,56.96242038,61.83508197,56.5,60.1,60.9
2016,1,NYG,90.28965517,74.6,71.8,77.9,76.2,63.28571429,56.86607143,74.6,66.81445783,66.03468208,60.43206107,56.5566474,61.47248908,58.55592105,60.11459854,58.5,60,60.4
2016,1,NYJ,75.3,73.21388889,64.3,61.07183099,73.8,48.70322581,67.74305556,55.7,62.00363636,60.88881988,60.44666667,62.87014925,49.2754717,49.46283186,62.29861111,64.5,60,60.7
2016,1,OAK,79.25773196,77.1,69.7,62.47959184,58.5,62.64230769,66.41234568,89.8,66.18640777,54.01384615,67.384375,59.47137681,55.93128492,59.14326241,59.32082019,63.9,60,60.3
2016,1,PHI,74.6,63.85930233,47.6,69.1,66.4,76.11020408,55.72068966,84.2,68.63612565,66.11538462,60.48653846,66.84672131,53.94890511,53.46601942,61.94204947,65.2,60,60.8
2016,1,PIT,84.2,63.8,63.9,84.6,84.9,68.28217822,63.52238806,82.1,72.96162791,60.83619048,63.56818182,73.92678571,60.05730994,59.3,59.47926829,64.3,60,60.6
2016,1,SD,79.3,75.2,76.1,68.78947368,76.83648649,53.61702128,62.27261905,65.8,67.1076087,63.12824427,84.9,55.01558935,68.68477157,61.60943396,62.02949853,65,60,60.8
2016,1,SEA,65.6,57.6,65.2,59.1,45.2,65.09333333,55.43666667,70.4,64.34521739,66.24732824,58.63647059,76.83983051,81.31052632,51.2,60.90557769,42,60,60.4
2016,1,SF,36.5,81.5,51.9,58.85,52.41666667,61.92264151,58.01111111,51.81481481,58.60963303,69.69112903,45,67.71681818,73.13141026,73.76811594,61.91015038,65,60,60.7
2016,1,TB,52.7,74.5,69.6,75.1,75.4,68.38064516,72.75625,80.9,65.46503067,53.01691176,62.00081967,69.40828025,65.2,49.87692308,57.14,64.8,60,60.6
2016,1,TEN,63,75.37058824,57.5,66.2,56.7,61.86236559,54.0597561,49.7,65.63,73.00413223,64.57142857,68.75875,53.54726027,63.75165563,62.20735786,63.9,60,60.2
2016,1,WAS,55.7,75.5,58.9,62.1,70,65.34666667,59.75172414,53.7,66.19490446,58,61,69.52647059,56.68688525,60.91343284,59.57070312,63.1,60,60.2
2016,2,ARI,64.4,71.57272727,69.16363636,61.7,67.24545455,56.58387097,66.30441176,77.54545455,72.23668639,63.13103448,64.26521739,62.07353952,71.26026786,61.41472393,62.72233333,65.4,60.1,60.9
2016,2,ATL,61.9,58,70.3,70.9,42.6,81.74271845,64.91348315,73.6,77.38985507,52.22893082,60.37706422,60.60772947,61.32211055,66.85695364,60.64006623,54.6,60,60.7
2016,2,BAL,59.3,74,61.6,68.4,79,65.88380952,53.4012987,80.4,65.45699482,78.52278481,67.59642857,57.85075758,59.79371069,60.65,69.23423077,64.2,60,60.5
2016,2,BUF,70.9,59.5,69.7,67.38947368,62.9,53.00967742,65.64333333,63.95636364,61.97956204,64.22769231,63.5,86.5040678,49.23694581,56.58724832,62.19299363,42.1,60,60.6
2016,2,CAR,56.1,69.1,58.2,74.02891566,60.0625,62.55338983,51.15795455,81.5,62.56666667,59.42384615,61.52153846,69.05320513,75.97514793,49.98615385,59.2530303,65.3,60.2,61.1
2016,2,CHI,72.8,77,68.5,46.4,76.2,59.96865672,48.49649123,45.33653846,68.17720588,51.94333333,69.65862069,57.99823322,63.83125,66.62158273,58.84826389,59.1,60,60.3
2016,2,CIN,63.1,70,67.9,72.49,78.9,54.26746988,59.92891566,68.2,57.59809524,67.06428571,68.50620155,68.17016575,60.90212766,50.58108108,58.21735294,75.8,60,60.7
2016,2,CLE,63.1,75.3,52.5,66.09538462,63.43939394,68.14050633,68.22054795,79,70.18258065,56.48301887,71.6,60.77788162,66.75291262,64.01586207,56.94807692,64.5,60,60.5
